farm_id,centroid_lat,centroid_lon,shore_km,axis_bearing,coast_bearing,wind_bearing,axis_coast_angle,axis_wind_angle,coast_wind_angle,A,aspect_ratio
34,25.13,119.392,16.36,58.1,36.271,82.648,21.829,24.548,46.376,3.202,1.62
35,20.595,110.756,28.383,0.2,166.065,80.377,14.135,80.177,85.688,3.923,2.02
36,50.67,-0.278,15.87,80.3,91.114,92.912,10.814,12.612,1.798,0.778,2.24
37,30.625,121.571,23.692,81.8,63.677,82.846,18.123,1.046,19.169,1.304,2.22
38,30.748,121.983,22.05,137.4,24.025,84.816,66.625,52.584,60.791,2.166,2.42
39,23.971,120.158,15.244,13.5,29.033,174.622,15.533,18.878,34.411,2.472,1.43
40,56.595,-1.699,68.05,96.1,23.279,4.355,72.821,88.255,18.924,0.431,1.98
41,23.241,117.023,29.609,42.9,46.371,5.625,3.471,37.275,40.746,3.386,1.89
43,56.602,11.217,36.712,159.4,178.563,5.845,19.163,26.445,7.282,0.564,1.53
44,38.274,118.942,22.158,98.0,119.019,12.148,21.019,85.852,73.129,1.474,3.89
45,25.252,119.544,13.924,80.5,86.064,32.878,5.564,47.622,53.185,4.816,1.55
46,25.81,119.996,29.134,14.4,10.796,36.189,3.604,21.789,25.393,2.608,2.66
47,22.306,114.947,36.033,67.5,93.675,32.855,26.175,34.645,60.821,3.325,1.71
48,52.236,2.503,87.885,12.0,4.965,31.918,7.035,19.918,26.953,0.969,1.84
49,51.431,1.632,25.235,117.5,170.434,32.355,52.934,85.145,41.922,2.312,1.85
50,34.506,120.362,26.731,83.0,138.095,32.082,55.095,50.918,73.987,2.421,1.92
51,53.276,0.842,33.909,131.1,93.487,32.636,37.613,81.536,60.851,0.359,2.08
52,25.665,119.764,1.667,116.5,154.632,32.482,38.132,84.018,57.85,6.146,2.8
53,53.478,0.839,56.207,114.5,93.097,43.011,21.403,71.489,50.086,0.279,2.4
54,53.002,5.264,5.169,92.8,46.381,27.58,46.419,65.22,18.801,0.442,1.31
55,53.136,1.147,20.999,121.5,101.812,17.517,19.688,76.017,84.296,0.575,2.54
56,21.339,108.211,24.517,18.9,69.765,37.2,50.865,18.3,32.565,3.857,2.0
58,47.159,-2.606,20.446,102.3,149.342,56.0,47.042,46.3,86.658,0.431,2.49
59,55.486,7.841,34.718,94.4,162.703,59.5,68.303,34.9,76.797,0.748,1.76
60,55.141,7.2,115.35,173.3,162.536,59.575,10.764,66.275,77.039,0.526,3.11
61,55.017,7.774,59.137,173.9,0.366,57.5,6.466,63.6,57.134,0.64,1.8
62,23.592,120.028,11.182,13.1,7.855,70.88,5.245,57.78,63.025,0.958,2.63
63,38.999,118.804,18.648,61.4,83.133,71.23,21.733,9.83,11.903,0.616,1.46
64,10.159,106.847,6.899,9.9,7.346,65.162,2.554,55.262,57.816,10.981,2.44
65,54.034,5.885,62.056,117.3,95.26,64.543,22.04,52.757,30.718,0.637,1.76
66,30.462,121.48,25.045,170.8,115.267,30.85,55.533,40.05,84.417,5.995,2.83
67,53.644,0.293,20.079,50.9,155.403,72.35,75.497,21.45,83.053,0.874,1.36
68,55.202,6.852,148.786,163.1,162.565,76.873,0.535,86.227,85.693,0.431,4.81
69,49.896,0.234,18.227,33.1,46.885,91.677,13.785,58.577,44.791,0.54,2.0
70,36.427,121.236,27.614,6.7,76.657,88.433,69.957,81.733,11.776,1.272,1.97
71,24.708,120.777,3.55,38.9,35.35,88.957,3.55,50.057,53.607,1.625,2.58
72,20.58,110.632,15.026,8.2,166.063,87.4,22.137,79.2,78.663,3.255,1.72
73,53.267,1.378,39.802,128.0,113.279,83.7,14.721,44.3,29.579,0.543,1.9
74,29.581,122.229,10.969,79.3,19.848,87.8,59.452,8.5,67.952,9.487,4.38
75,48.857,-2.542,25.491,147.4,71.752,105.215,75.648,42.185,33.463,0.467,2.05
76,38.307,118.561,22.378,113.8,91.824,94.878,21.976,18.922,3.054,1.732,2.32
77,20.144,109.428,25.933,112.4,77.846,88.24,34.554,24.16,10.394,4.352,1.82
78,39.477,123.203,23.049,6.4,67.955,84.976,61.555,78.576,17.021,3.372,1.33
79,37.835,120.311,15.481,48.5,50.915,78.25,2.415,29.75,27.335,1.521,2.53
80,54.116,-3.816,46.862,106.7,161.885,91.191,55.185,15.509,70.695,0.166,2.37
81,25.406,119.4,5.474,120.4,65.252,84.794,55.148,35.606,19.543,4.511,2.48
82,33.321,121.593,86.94,87.6,166.664,89.439,79.064,1.839,77.225,2.196,3.76
83,54.753,-3.713,13.626,74.9,57.134,83.419,17.766,8.519,26.285,1.076,1.39
84,53.486,-3.242,13.288,93.1,20.378,79.075,72.722,14.025,58.697,0.901,4.1
85,28.926,121.999,24.885,15.0,37.59,79.076,22.59,64.076,41.486,3.353,2.89
86,8.922,105.398,1.684,18.0,37.208,55.463,19.208,37.463,18.255,22.696,4.77
87,51.774,1.985,58.115,54.4,26.724,79.9,27.676,25.5,53.175,0.317,1.55
88,34.503,120.053,9.97,118.0,117.559,96.996,0.441,21.004,20.563,2.49,4.56
89,30.93,122.124,27.375,21.7,23.959,77.635,2.259,55.935,53.676,1.167,3.0
90,22.733,116.12,16.75,68.9,71.254,60.655,2.354,8.245,10.599,5.556,4.25
91,21.901,113.44,28.423,57.1,83.293,66.11,26.193,9.01,17.182,6.223,1.86
92,30.45,121.896,34.993,95.5,65.841,78.689,29.659,16.811,12.848,4.652,1.45
94,37.262,119.451,15.16,154.8,90.918,67.798,63.882,87.002,23.121,3.687,1.31
95,54.83,13.858,37.385,102.7,164.602,68.285,61.902,34.415,83.684,0.606,1.57
96,51.73,1.23,9.356,68.7,48.142,50.611,20.558,18.089,2.47,1.134,2.85
97,22.12,113.733,17.258,171.0,29.594,69.952,38.594,78.952,40.358,2.854,1.74
98,34.604,119.792,11.875,95.7,115.694,53.612,19.994,42.088,62.082,0.732,1.22
99,55.513,12.781,15.797,68.7,2.555,56.259,66.145,12.441,53.704,1.35,1.47
100,52.747,5.591,46.587,17.0,39.879,54.336,22.879,37.336,14.457,2.943,5.29
101,25.582,119.605,6.011,160.6,52.003,31.891,71.403,51.291,20.113,7.396,2.8
102,51.458,1.088,10.374,96.3,87.323,52.435,8.977,43.865,34.888,1.749,2.37
103,29.066,122.029,14.515,22.2,36.915,8.328,14.715,13.872,28.587,5.882,2.47
104,30.387,121.684,32.342,146.5,133.074,79.931,13.426,66.569,53.144,0.877,1.91
105,28.835,121.858,21.719,82.7,12.817,9.754,69.883,72.946,3.062,4.776,1.78
106,38.024,119.266,29.627,97.6,163.324,113.953,65.724,16.353,49.372,1.823,2.5
107,9.082,105.585,4.992,50.2,55.025,85.886,4.825,35.686,30.861,19.843,2.5
108,37.243,119.623,11.171,93.2,76.451,67.798,16.749,25.402,8.653,3.156,2.72
109,32.371,121.684,31.453,100.8,152.489,66.498,51.689,34.302,85.991,1.772,4.46
110,29.531,122.057,10.583,173.1,28.125,1.175,35.025,8.075,26.951,3.335,3.09
111,22.678,115.936,16.109,71.1,85.156,60.655,14.056,10.445,24.502,7.611,2.07
112,9.627,106.579,1.612,16.1,24.857,89.712,8.757,73.612,64.855,25.205,4.87
113,52.607,4.42,20.514,122.6,12.714,57.3,70.114,65.3,44.587,0.893,2.04
114,37.914,121.884,46.903,166.5,93.309,120.16,73.191,46.34,26.851,1.313,1.83
115,9.928,106.698,4.544,157.1,40.902,94.986,63.802,62.114,54.084,12.539,2.14
116,53.806,0.149,16.441,85.1,155.99,51.947,70.89,33.153,75.957,0.401,1.31
117,41.054,-70.434,34.101,170.4,90.207,82.534,80.193,87.866,7.673,0.226,1.65
118,30.744,121.799,14.422,43.9,49.246,88.235,5.346,44.335,38.989,1.811,1.0
119,28.183,121.5,12.811,1.0,58.095,13.566,57.095,12.566,44.53,3.416,2.09
120,20.716,110.557,20.48,158.3,176.528,93.535,18.228,64.765,82.993,4.044,1.91
121,53.693,6.476,22.382,80.0,27.511,59.204,52.489,20.796,31.693,1.659,5.17
122,52.646,1.788,6.71,12.3,168.783,50.847,23.517,38.547,62.064,1.513,1.99
123,53.993,-3.298,20.576,108.0,117.799,56.035,9.799,51.965,61.764,1.423,1.51
124,25.298,119.373,11.982,139.4,38.488,32.827,79.088,73.427,5.66,7.453,2.15
125,23.922,118.214,38.354,42.9,20.024,37.973,22.876,4.927,17.948,1.917,1.14
126,9.524,106.455,3.883,66.1,74.472,80.145,8.372,14.045,5.673,19.247,2.94
127,54.818,13.657,26.508,114.6,161.031,68.285,46.431,46.315,87.255,0.962,3.98
128,54.646,-1.094,0.893,109.1,129.918,54.862,20.818,54.238,75.056,2.553,2.81
129,54.731,1.781,208.356,109.3,113.499,56.09,4.199,53.21,57.409,0.033,3.64
130,9.141,105.712,4.932,47.8,63.942,91.191,16.142,43.391,27.249,21.764,1.14
131,34.404,120.196,7.396,128.3,131.94,60.379,3.64,67.921,71.561,1.448,2.0
132,38.668,118.04,49.099,99.2,129.21,67.079,30.01,32.121,62.132,0.902,3.65
133,8.671,105.154,0.057,23.1,58.438,81.671,35.338,58.571,23.233,15.936,1.83
134,52.604,5.575,59.714,72.1,40.442,50.622,31.658,21.478,10.18,1.757,5.13
135,40.201,139.978,1.547,11.1,9.942,91.419,1.158,80.319,81.477,4.907,2.33
136,56.593,8.026,15.059,179.4,11.675,70.526,12.275,71.126,58.851,1.713,142.01
137,54.61,12.651,16.604,50.3,78.252,67.081,27.952,16.781,11.172,3.374,3.22
138,41.132,-70.995,31.176,111.2,120.266,83.424,9.066,27.776,36.842,0.113,2.71
139,35.482,126.318,15.629,55.7,20.826,139.225,34.874,83.525,61.601,2.083,1.4
140,56.079,7.954,19.819,179.8,176.081,67.088,3.719,67.288,71.007,1.513,130.28
141,9.746,106.585,3.591,125.5,18.304,89.712,72.804,35.788,71.408,20.212,3.26
142,53.836,8.168,23.809,128.5,142.475,61.839,13.975,66.661,80.635,1.043,1.42
143,8.55,104.931,4.51,0.0,105.482,80.636,74.518,80.636,24.846,16.984,58.55
144,56.986,17.019,11.845,139.9,16.105,53.804,56.205,86.096,37.699,4.56,4.62
145,43.211,141.256,2.466,50.0,50.932,88.839,0.932,38.839,37.907,6.747,1.84
146,41.093,-71.148,44.061,97.9,55.907,83.77,41.993,14.13,27.863,0.188,1.76
147,38.667,117.638,9.107,95.3,0.093,66.511,84.793,28.789,66.418,1.504,14.91
148,61.628,21.355,18.036,125.9,0.605,47.274,54.705,78.626,46.669,0.708,1.47
149,55.694,12.67,5.269,179.3,2.496,57.291,3.196,57.991,54.795,7.661,16.55
150,57.223,-1.995,4.251,48.2,21.257,33.395,26.943,14.805,12.137,1.08,2.14
151,34.971,125.95,13.151,57.0,155.801,150.521,81.199,86.479,5.28,1.747,1.47
152,56.665,8.231,5.188,60.0,2.326,71.289,57.674,11.289,68.964,3.087,1.87
153,55.969,10.355,14.68,140.3,19.01,56.458,58.71,83.842,37.448,5.619,1.09
154,55.722,10.583,4.868,179.9,177.26,55.47,2.64,55.57,58.21,6.127,26.91
155,40.492,17.14,1.525,28.1,101.258,152.111,73.158,55.989,50.853,8.832,4.19
156,41.196,-71.164,32.605,34.7,55.739,78.905,21.039,44.205,23.166,0.102,4.23
157,55.344,10.96,15.862,80.6,168.081,52.624,87.481,27.976,64.543,3.108,35.94
158,52.792,-5.947,16.042,11.7,11.345,41.628,0.355,29.928,30.283,2.505,23.81
159,9.297,106.124,8.102,14.2,43.616,84.108,29.416,69.908,40.492,17.442,5.07
162,55.131,-1.402,6.704,156.3,165.738,62.104,9.438,85.804,76.366,0.785,16.45
163,57.037,18.147,7.182,93.3,174.829,57.605,81.529,35.695,62.775,0.76,1.41
164,57.488,-1.356,46.828,107.9,1.859,39.798,73.959,68.102,37.939,0.254,2.4
165,38.046,118.443,7.232,12.6,94.047,31.725,81.447,19.125,62.322,0.905,3.0
166,39.773,140.011,2.971,129.6,152.286,98.081,22.686,31.519,54.205,1.186,4.42
167,43.19,4.794,20.92,35.4,83.319,148.894,47.919,66.506,65.575,2.089,18.72
168,38.619,117.581,1.987,68.4,173.694,67.239,74.706,1.161,73.545,1.18,8.24
169,34.462,119.888,0.537,141.0,114.258,55.463,26.742,85.537,58.796,0.892,1.45
170,41.687,-9.057,20.722,89.8,173.977,120.408,84.177,30.608,53.568,3.29,12.27
