farm_id,year,n_turb,capacity_kW,n_hours,wake_model,AEP_kWh,CF,WakeLoss,Volatility_kW,CV,P5_kW,P95_kW,RampFreq,low_hours,high_hours
0,2015,8,80000.0,7741,jensen,246699259.0,0.3984,0.0064,25585.6,0.8028,1887.7,73720.0,0.0357,0.2157,0.1900
0,2015,8,80000.0,7741,curl,246705368.4,0.3984,0.0064,25591.3,0.8030,1884.7,73720.0,0.0354,0.2161,0.1904
46,2015,2,20000.0,8256,gaussian,115264354.0,0.6981,0.0004,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2015,2,20000.0,8256,jensen,115263219.7,0.6981,0.0004,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2015,2,20000.0,8256,curl,115260662.4,0.6980,0.0004,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
89,2015,2,20000.0,7960,gaussian,63225359.1,0.3971,0.0015,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
89,2015,2,20000.0,7960,jensen,63256584.2,0.3973,0.0010,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
89,2015,2,20000.0,7960,curl,63234869.2,0.3972,0.0013,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2015,2,20000.0,8070,gaussian,103281470.8,0.6399,0.0000,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2015,2,20000.0,8070,jensen,103281929.3,0.6399,0.0000,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2015,2,20000.0,8070,curl,103281211.9,0.6399,0.0000,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2015,3,30000.0,7161,gaussian,59108097.4,0.2751,0.0475,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2015,3,30000.0,7161,jensen,58156531.2,0.2707,0.0629,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2015,3,30000.0,7161,curl,58818658.7,0.2738,0.0522,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2015,3,30000.0,7429,gaussian,70147542.2,0.3147,0.0397,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2015,3,30000.0,7429,jensen,69272133.9,0.3108,0.0517,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2015,3,30000.0,7429,curl,69829629.6,0.3133,0.0441,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
0,2016,47,470000.0,8028,gaussian,1578660882.7,0.4184,0.0545,150894.0,0.7673,11923.6,433105.0,0.0320,0.1847,0.2078
0,2016,47,470000.0,8028,jensen,1559910909.3,0.4134,0.0658,149953.8,0.7717,11549.0,433105.0,0.0310,0.1868,0.2010
0,2016,47,470000.0,8028,curl,1574161485.5,0.4172,0.0572,150811.4,0.7691,11662.5,433105.0,0.0315,0.1851,0.2067
1,2016,2,20000.0,7952,gaussian,68942176.2,0.4335,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
1,2016,2,20000.0,7952,jensen,68944278.7,0.4335,0.0000,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
1,2016,2,20000.0,7952,curl,68942884.1,0.4335,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2016,2,20000.0,8091,gaussian,105823361.4,0.6540,0.0008,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2016,2,20000.0,8091,jensen,105824015.7,0.6540,0.0008,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2016,2,20000.0,8091,curl,105819101.5,0.6539,0.0008,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
63,2016,2,20000.0,7801,gaussian,60029767.5,0.3848,0.0055,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
63,2016,2,20000.0,7801,jensen,60080559.7,0.3851,0.0046,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
63,2016,2,20000.0,7801,curl,60036651.3,0.3848,0.0053,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
71,2016,3,30000.0,6818,gaussian,106335763.1,0.5199,0.0269,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
71,2016,3,30000.0,6818,jensen,105704198.3,0.5168,0.0327,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
71,2016,3,30000.0,6818,curl,106081508.8,0.5186,0.0292,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2016,3,30000.0,7903,gaussian,138612574.7,0.5846,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2016,3,30000.0,7903,jensen,138613172.6,0.5846,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2016,3,30000.0,7903,curl,138612651.7,0.5846,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
124,2016,2,20000.0,7804,gaussian,87926688.7,0.5633,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
124,2016,2,20000.0,7804,jensen,87924363.2,0.5633,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
124,2016,2,20000.0,7804,curl,87925170.9,0.5633,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2016,3,30000.0,7020,gaussian,62786633.5,0.2981,0.0190,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2016,3,30000.0,7020,jensen,62408229.2,0.2963,0.0249,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2016,3,30000.0,7020,curl,62646949.1,0.2975,0.0212,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2016,3,30000.0,7273,gaussian,59808262.5,0.2741,0.0355,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2016,3,30000.0,7273,jensen,58807602.1,0.2695,0.0517,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2016,3,30000.0,7273,curl,59504276.1,0.2727,0.0404,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2016,3,30000.0,7716,gaussian,78138834.7,0.3376,0.0353,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2016,3,30000.0,7716,jensen,77143630.0,0.3333,0.0476,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2016,3,30000.0,7716,curl,77787098.0,0.3360,0.0396,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
0,2017,170,1700000.0,7906,gaussian,5158873016.6,0.3838,0.0911,543573.8,0.8330,30530.2,1566550.0,0.0366,0.2286,0.1834
0,2017,170,1700000.0,7906,jensen,5100645339.5,0.3795,0.1014,541550.3,0.8394,30209.1,1566550.0,0.0362,0.2349,0.1777
0,2017,170,1700000.0,7906,curl,5157438410.1,0.3837,0.0914,544088.7,0.8341,30274.0,1566550.0,0.0369,0.2297,0.1848
14,2017,3,30000.0,7484,gaussian,89340025.1,0.3979,0.0058,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
14,2017,3,30000.0,7484,jensen,89411358.6,0.3982,0.0050,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
14,2017,3,30000.0,7484,curl,89348372.4,0.3980,0.0057,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2017,2,20000.0,8262,gaussian,114257207.2,0.6915,0.0005,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2017,2,20000.0,8262,jensen,114262164.4,0.6915,0.0004,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2017,2,20000.0,8262,curl,114254088.3,0.6914,0.0005,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
71,2017,3,30000.0,6833,gaussian,116637844.9,0.5690,0.0251,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
71,2017,3,30000.0,6833,jensen,116090375.7,0.5663,0.0297,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
71,2017,3,30000.0,6833,curl,116421602.8,0.5679,0.0269,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2017,3,30000.0,8123,gaussian,150805295.4,0.6188,0.0000,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2017,3,30000.0,8123,jensen,150806352.6,0.6188,0.0000,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2017,3,30000.0,8123,curl,150805486.9,0.6188,0.0000,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
124,2017,2,20000.0,7999,gaussian,96101519.3,0.6007,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
124,2017,2,20000.0,7999,jensen,96101647.6,0.6007,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
124,2017,2,20000.0,7999,curl,96100482.5,0.6007,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2017,3,30000.0,6856,gaussian,63942217.0,0.3109,0.0198,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2017,3,30000.0,6856,jensen,63693435.6,0.3097,0.0237,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2017,3,30000.0,6856,curl,63827415.9,0.3103,0.0216,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
139,2017,3,30000.0,7258,gaussian,85379129.1,0.3921,0.0159,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
139,2017,3,30000.0,7258,jensen,84792660.3,0.3894,0.0226,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
139,2017,3,30000.0,7258,curl,85183193.2,0.3912,0.0181,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2017,3,30000.0,7378,gaussian,57905181.3,0.2616,0.0455,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2017,3,30000.0,7378,jensen,56956478.4,0.2573,0.0612,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2017,3,30000.0,7378,curl,57605814.5,0.2603,0.0505,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2017,3,30000.0,7578,gaussian,74941915.0,0.3296,0.0344,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2017,3,30000.0,7578,jensen,73907337.1,0.3251,0.0478,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2017,3,30000.0,7578,curl,74581728.2,0.3281,0.0391,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
0,2018,227,2270000.0,8000,gaussian,7767160304.2,0.4277,0.0901,750236.3,0.7727,45694.4,2091805.0,0.0378,0.1949,0.2295
0,2018,227,2270000.0,8000,jensen,7699092198.8,0.4240,0.0980,749234.3,0.7785,45259.9,2091805.0,0.0359,0.1984,0.2243
0,2018,227,2270000.0,8000,curl,7774517324.5,0.4281,0.0892,751202.6,0.7730,45886.8,2091805.0,0.0358,0.1944,0.2296
46,2018,2,20000.0,8153,gaussian,108786461.4,0.6672,0.0009,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2018,2,20000.0,8153,jensen,108781195.1,0.6671,0.0009,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2018,2,20000.0,8153,curl,108782491.5,0.6671,0.0009,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
71,2018,3,30000.0,6782,gaussian,106785006.1,0.5248,0.0268,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
71,2018,3,30000.0,6782,jensen,106147632.3,0.5217,0.0326,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
71,2018,3,30000.0,6782,curl,106555558.1,0.5237,0.0289,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
72,2018,3,30000.0,8145,gaussian,97050133.8,0.3972,0.0127,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
72,2018,3,30000.0,8145,jensen,96887537.9,0.3965,0.0144,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
72,2018,3,30000.0,8145,curl,96955520.2,0.3968,0.0137,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
98,2018,2,20000.0,7559,gaussian,44946944.4,0.2973,0.0014,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
98,2018,2,20000.0,7559,jensen,44963202.8,0.2974,0.0010,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
98,2018,2,20000.0,7559,curl,44949393.7,0.2973,0.0013,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2018,3,30000.0,7931,gaussian,141584414.4,0.5951,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2018,3,30000.0,7931,jensen,141585569.5,0.5951,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2018,3,30000.0,7931,curl,141583861.4,0.5951,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
124,2018,2,20000.0,7837,gaussian,89867935.7,0.5734,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
124,2018,2,20000.0,7837,jensen,89868154.0,0.5734,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
124,2018,2,20000.0,7837,curl,89867195.0,0.5734,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2018,3,30000.0,6973,gaussian,64417435.4,0.3079,0.0165,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2018,3,30000.0,6973,jensen,64148989.7,0.3067,0.0206,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2018,3,30000.0,6973,curl,64291173.1,0.3073,0.0184,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2018,3,30000.0,7403,gaussian,60424643.1,0.2721,0.0381,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2018,3,30000.0,7403,jensen,59549273.3,0.2681,0.0520,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2018,3,30000.0,7403,curl,60140206.7,0.2708,0.0426,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2018,3,30000.0,7733,gaussian,81564415.8,0.3516,0.0349,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2018,3,30000.0,7733,jensen,80559773.4,0.3473,0.0468,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2018,3,30000.0,7733,curl,81207709.2,0.3500,0.0391,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
0,2019,436,4360000.0,8020,gaussian,11567224096.3,0.3308,0.1245,1305241.3,0.9050,68126.6,4017740.0,0.0307,0.2726,0.1299
0,2019,436,4360000.0,8020,jensen,11483722210.3,0.3284,0.1308,1303951.3,0.9107,67876.4,4017740.0,0.0298,0.2794,0.1259
0,2019,436,4360000.0,8020,curl,11598648922.7,0.3317,0.1221,1308412.4,0.9047,67914.8,4017740.0,0.0307,0.2728,0.1312
3,2019,2,20000.0,7997,gaussian,61484448.8,0.3844,0.0007,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
3,2019,2,20000.0,7997,jensen,61498009.9,0.3845,0.0005,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
3,2019,2,20000.0,7997,curl,61487718.1,0.3844,0.0006,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2019,2,20000.0,8282,gaussian,114675648.9,0.6923,0.0003,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2019,2,20000.0,8282,jensen,114674830.3,0.6923,0.0003,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2019,2,20000.0,8282,curl,114671679.3,0.6923,0.0004,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2019,3,30000.0,8105,gaussian,150154057.2,0.6175,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2019,3,30000.0,8105,jensen,150156457.8,0.6175,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2019,3,30000.0,8105,curl,150154583.1,0.6175,0.0001,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
124,2019,2,20000.0,8062,gaussian,95959928.6,0.5951,0.0002,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
124,2019,2,20000.0,8062,jensen,95960398.5,0.5951,0.0002,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
124,2019,2,20000.0,8062,curl,95959720.7,0.5951,0.0002,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2019,3,30000.0,6940,gaussian,65104476.5,0.3127,0.0194,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2019,3,30000.0,6940,jensen,64857411.5,0.3115,0.0231,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2019,3,30000.0,6940,curl,64993567.2,0.3122,0.0210,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2019,3,30000.0,7340,gaussian,59230077.0,0.2690,0.0436,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2019,3,30000.0,7340,jensen,58154961.0,0.2641,0.0610,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2019,3,30000.0,7340,curl,58908526.5,0.2675,0.0488,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2019,3,30000.0,7432,gaussian,70228518.3,0.3150,0.0371,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2019,3,30000.0,7432,jensen,69271931.4,0.3107,0.0502,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2019,3,30000.0,7432,curl,69891307.1,0.3135,0.0417,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
0,2020,635,6350000.0,7774,gaussian,17453953628.2,0.3536,0.1294,1979549.1,0.8817,91588.0,5851525.0,0.0369,0.2687,0.1538
0,2020,635,6350000.0,7774,jensen,17365151540.2,0.3518,0.1338,1980556.2,0.8867,92473.3,5851525.0,0.0364,0.2715,0.1523
0,2020,635,6350000.0,7774,curl,17526194399.4,0.3550,0.1258,1984615.9,0.8803,93203.0,5851525.0,0.0372,0.2676,0.1551
39,2020,3,30000.0,7564,gaussian,114462199.2,0.5044,0.0305,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
39,2020,3,30000.0,7564,jensen,114042159.5,0.5026,0.0340,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
39,2020,3,30000.0,7564,curl,114301765.6,0.5037,0.0318,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2020,2,20000.0,8416,gaussian,120298041.3,0.7147,0.0004,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2020,2,20000.0,8416,jensen,120297139.5,0.7147,0.0004,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2020,2,20000.0,8416,curl,120295686.4,0.7147,0.0004,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
66,2020,3,30000.0,7912,gaussian,85947695.6,0.3621,0.0529,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
66,2020,3,30000.0,7912,jensen,83038096.2,0.3498,0.0850,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
66,2020,3,30000.0,7912,curl,85175373.4,0.3588,0.0614,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
111,2020,3,30000.0,7967,gaussian,88780536.5,0.3715,0.0090,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
111,2020,3,30000.0,7967,jensen,88780722.8,0.3715,0.0090,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
111,2020,3,30000.0,7967,curl,88750644.3,0.3713,0.0093,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
112,2020,2,20000.0,7474,gaussian,40696547.4,0.2723,0.0035,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
112,2020,2,20000.0,7474,jensen,40655045.5,0.2720,0.0046,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
112,2020,2,20000.0,7474,curl,40681132.1,0.2722,0.0039,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
115,2020,3,30000.0,7439,gaussian,65777462.3,0.2947,0.0051,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
115,2020,3,30000.0,7439,jensen,65532797.9,0.2936,0.0088,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
115,2020,3,30000.0,7439,curl,65708528.0,0.2944,0.0061,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
130,2020,2,20000.0,7360,gaussian,35183029.8,0.2390,0.0073,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
130,2020,2,20000.0,7360,jensen,35009762.2,0.2378,0.0122,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
130,2020,2,20000.0,7360,curl,35130020.3,0.2387,0.0088,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2020,3,30000.0,6846,gaussian,61692527.2,0.3004,0.0206,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2020,3,30000.0,6846,jensen,61421609.3,0.2991,0.0249,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2020,3,30000.0,6846,curl,61577118.9,0.2998,0.0225,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2020,3,30000.0,7265,gaussian,55122011.0,0.2529,0.0393,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2020,3,30000.0,7265,jensen,54199504.0,0.2487,0.0554,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2020,3,30000.0,7265,curl,54829932.8,0.2516,0.0444,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2020,3,30000.0,7459,gaussian,69669523.4,0.3113,0.0345,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2020,3,30000.0,7459,jensen,68751857.7,0.3072,0.0472,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2020,3,30000.0,7459,curl,69338979.3,0.3099,0.0391,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
0,2021,928,9280000.0,7916,gaussian,29413253640.9,0.4004,0.1303,3027496.4,0.8148,158802.9,8551520.0,0.0369,0.2211,0.2033
0,2021,928,9280000.0,7916,jensen,29082460361.2,0.3959,0.1401,3032629.1,0.8255,158500.0,8551520.0,0.0364,0.2317,0.2009
0,2021,928,9280000.0,7916,curl,29507187095.7,0.4017,0.1275,3036047.6,0.8145,159830.2,8551520.0,0.0366,0.2216,0.2048
21,2021,3,30000.0,8054,gaussian,122208912.4,0.5058,0.0040,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
21,2021,3,30000.0,8054,jensen,121833840.7,0.5042,0.0071,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
21,2021,3,30000.0,8054,curl,122103810.3,0.5054,0.0049,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2021,3,30000.0,6873,gaussian,65403588.6,0.3172,0.0158,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2021,3,30000.0,6873,jensen,65173017.6,0.3161,0.0193,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
135,2021,3,30000.0,6873,curl,65294086.5,0.3167,0.0175,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2021,3,30000.0,7290,gaussian,62495596.0,0.2858,0.0417,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2021,3,30000.0,7290,jensen,61431000.9,0.2809,0.0580,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2021,3,30000.0,7290,curl,62164770.6,0.2842,0.0468,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2021,3,30000.0,7677,gaussian,88931690.0,0.3861,0.0316,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2021,3,30000.0,7677,jensen,87881267.7,0.3816,0.0431,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2021,3,30000.0,7677,curl,88563475.0,0.3845,0.0356,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
0,2022,928,9280000.0,8010,gaussian,26973456266.7,0.3629,0.1379,2910039.3,0.8642,142081.6,8551520.0,0.0427,0.2486,0.1637
0,2022,928,9280000.0,8010,jensen,26900763542.4,0.3619,0.1402,2917827.2,0.8688,139922.4,8551520.0,0.0420,0.2541,0.1644
0,2022,928,9280000.0,8010,curl,27122226088.5,0.3649,0.1331,2919266.5,0.8621,142923.0,8551520.0,0.0426,0.2487,0.1677
110,2022,2,20000.0,7776,gaussian,62699527.9,0.4032,0.0020,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
110,2022,2,20000.0,7776,jensen,62743429.7,0.4034,0.0013,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
110,2022,2,20000.0,7776,curl,62711682.3,0.4032,0.0018,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
